code,label,description,parent,kind,in_plot
F80-F89,F80-F89,Disorders of psychological development,,block,0
F90-F98,F90-F98,Behavioural and emotional disorders with onset usually occurring in childhood and adolescence,,block,0
F99-F99,F99-F99,Unspecified mental disorder,,block,0
G00-G09,G00-G09,Inflammatory diseases of the central nervous system,,block,0
G10-G14,G10-G14,Systemic atrophies primarily affecting the central nervous system,,block,0
G20-G26,G20-G26,Extrapyramidal and movement disorders,,block,0
G30-G32,G30-G32,Other degenerative diseases of the nervous system,,block,0
G35-G37,G35-G37,Demyelinating diseases of the central nervous system,,block,0
G40-G47,G40-G47,Episodic and paroxysmal disorders,,block,0
G50-G59,G50-G59,"Nerve, nerve root and plexus disorders",,block,0
G60-G64,G60-G64,Polyneuropathies and other disorders of the peripheral nervous system,,block,0
G70-G73,G70-G73,Diseases of myoneural junction and muscle,,block,0
G80-G83,G80-G83,Cerebral palsy and other paralytic syndromes,,block,0
G90-G99,G90-G99,Other disorders of the nervous system,,block,0
H00-H06,H00-H06,"Disorders of eyelid, lacrimal system and orbit",,block,0
H10-H13,H10-H13,Disorders of conjunctiva,,block,0
H15-H22,H15-H22,"Disorders of sclera, cornea, iris and ciliary body",,block,0
H25-H28,H25-H28,Disorders of lens,,block,0
H30-H36,H30-H36,Disorders of choroid and retina,,block,0
H40-H42,H40-H42,Glaucoma,,block,0
H43-H45,H43-H45,Disorders of vitreous body and globe,,block,0
H46-H48,H46-H48,Disorders of optic nerve and visual pathways,,block,0
H49-H52,H49-H52,"Disorders of ocular muscles, binocular movement, accommodation and refraction",,block,0
H53-H54,H53-H54,Visual disturbances and blindness,,block,0
H55-H59,H55-H59,Other disorders of eye and adnexa,,block,0
H60-H62,H60-H62,Diseases of external ear,,block,0
H65-H75,H65-H75,Diseases of middle ear and mastoid,,block,0
H80-H83,H80-H83,Diseases of inner ear,,block,0
H90-H95,H90-H95,Other disorders of ear,,block,0
I00-I02,I00-I02,Acute rheumatic fever,,block,0
I05-I09,I05-I09,Chronic rheumatic heart diseases,,block,0
I10-I15,I10-I15,Hypertensive diseases,,block,0
I20-I25,I20-I25,Ischaemic heart diseases,,block,0
I26-I28,I26-I28,Pulmonary heart disease and diseases of pulmonary circulation,,block,0
I30-I52,I30-I52,Other forms of heart disease,,block,0
I60-I69,I60-I69,Cerebrovascular diseases,,block,0
I70-I79,I70-I79,"Diseases of arteries, arterioles and capillaries",,block,0
I80-I89,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",,block,0
I95-I99,I95-I99,Other and unspecified disorders of the circulatory system,,block,0
J00-J06,J00-J06,Acute upper respiratory infections,,block,0
J09-J18,J09-J18,Influenza and pneumonia,,block,0
J20-J22,J20-J22,Other acute lower respiratory infections,,block,0
J30-J39,J30-J39,Other diseases of upper respiratory tract,,block,0
J40-J47,J40-J47,Chronic lower respiratory diseases,,block,0
J60-J70,J60-J70,Lung diseases due to external agents,,block,0
J80-J84,J80-J84,Other respiratory diseases principally affecting the interstitium,,block,0
J85-J86,J85-J86,Suppurative and necrotic conditions of lower respiratory tract,,block,0
J90-J94,J90-J94,Other diseases of pleura,,block,0
J95-J99,J95-J99,Other diseases of the respiratory system,,block,0
K00-K14,K00-K14,"Diseases of oral cavity, salivary glands and jaws",,block,0
K20-K31,K20-K31,"Diseases of oesophagus, stomach and duodenum",,block,0
K35-K38,K35-K38,Diseases of appendix,,block,0
K40-K46,K40-K46,Hernia,,block,0
K50-K52,K50-K52,Noninfective enteritis and colitis,,block,0
K55-K64,K55-K64,Other diseases of intestines,,block,0
K65-K67,K65-K67,Diseases of peritoneum,,block,0
K70-K77,K70-K77,Diseases of liver,,block,0
K80-K87,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",,block,0
K90-K93,K90-K93,Other diseases of the digestive system,,block,0
L00-L08,L00-L08,Infections of the skin and subcutaneous tissue,,block,0
L10-L14,L10-L14,Bullous disorders,,block,0
L20-L30,L20-L30,Dermatitis and eczema,,block,0
L40-L45,L40-L45,Papulosquamous disorders,,block,0
L50-L54,L50-L54,Urticaria and erythema,,block,0
L55-L59,L55-L59,Radiation-related disorders of the skin and subcutaneous tissue,,block,0
L60-L75,L60-L75,Disorders of skin appendages,,block,0
L80-L99,L80-L99,Other disorders of the skin and subcutaneous tissue,,block,0
M00-M03,M00-M03,Infectious arthropathies,,block,0
M05-M14,M05-M14,Inflammatory polyarthropathies,,block,0
M15-M19,M15-M19,Arthrosis,,block,0
M20-M25,M20-M25,Other joint disorders,,block,0
M30-M36,M30-M36,Systemic connective tissue disorders,,block,0
M40-M43,M40-M43,Deforming dorsopathies,,block,0
M45-M49,M45-M49,Spondylopathies,,block,0
M50-M54,M50-M54,Other dorsopathies,,block,0
M60-M63,M60-M63,Disorders of muscles,,block,0
M65-M68,M65-M68,Disorders of synovium and tendon,,block,0
M70-M79,M70-M79,Other soft tissue disorders,,block,0
M80-M85,M80-M85,Disorders of bone density and structure,,block,0
M86-M90,M86-M90,Other osteopathies,,block,0
M91-M94,M91-M94,Chondropathies,,block,0
M95-M99,M95-M99,Other disorders of the musculoskeletal system and connective tissue,,block,0
N00-N08,N00-N08,Glomerular diseases,,block,0
N10-N16,N10-N16,Renal tubulo-interstitial diseases,,block,0
N17-N19,N17-N19,Renal failure,,block,0
N20-N23,N20-N23,Urolithiasis,,block,0
N25-N29,N25-N29,Other disorders of kidney and ureter,,block,0
N30-N39,N30-N39,Other diseases of urinary system,,block,0
N40-N51,N40-N51,Diseases of male genital organs,,block,0
N60-N64,N60-N64,Disorders of breast,,block,0
N70-N77,N70-N77,Inflammatory diseases of female pelvic organs,,block,0
N80-N98,N80-N98,Noninflammatory disorders of female genital tract,,block,0
N99-N99,N99-N99,Other disorders of the genitourinary system,,block,0
O00-O08,O00-O08,Pregnancy with abortive outcome,,block,0
O10-O16,O10-O16,"Oedema, proteinuria and hypertensive disorders in pregnancy, childbirth and the puerperium",,block,0
O20-O29,O20-O29,Other maternal disorders predominantly related to pregnancy,,block,0
O30-O48,O30-O48,Maternal care related to the fetus and amniotic cavity and possible delivery problems,,block,0
O60-O75,O60-O75,Complications of labour and delivery,,block,0
O80-O84,O80-O84,Delivery,,block,0
O85-O92,O85-O92,Complications predominantly related to the puerperium,,block,0
O94-O99,O94-O99,"Other obstetric conditions, not elsewhere classified",,block,0
P00-P04,P00-P04,"Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",,block,0
P05-P08,P05-P08,Disorders related to length of gestation and fetal growth,,block,0
P10-P15,P10-P15,Birth trauma,,block,0
P20-P29,P20-P29,Respiratory and cardiovascular disorders specific to the perinatal period,,block,0
P35-P39,P35-P39,Infections specific to the perinatal period,,block,0
P50-P61,P50-P61,Haemorrhagic and haematological disorders of fetus and newborn,,block,0
P70-P74,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,,block,0
P75-P78,P75-P78,Digestive system disorders of fetus and newborn,,block,0
P80-P83,P80-P83,Conditions involving the integument and temperature regulation of fetus and newborn,,block,0
P90-P96,P90-P96,Other disorders originating in the perinatal period,,block,0
Q00-Q07,Q00-Q07,Congenital malformations of the nervous system,,block,0
Q10-Q18,Q10-Q18,"Congenital malformations of eye, ear, face and neck",,block,0
Q20-Q28,Q20-Q28,Congenital malformations of the circulatory system,,block,0
Q30-Q34,Q30-Q34,Congenital malformations of the respiratory system,,block,0
Q35-Q37,Q35-Q37,Cleft lip and cleft palate,,block,0
Q38-Q45,Q38-Q45,Other congenital malformations of the digestive system,,block,0
Q50-Q56,Q50-Q56,Congenital malformations of genital organs,,block,0
Q60-Q64,Q60-Q64,Congenital malformations of the urinary system,,block,0
Q65-Q79,Q65-Q79,Congenital malformations and deformations of the musculoskeletal system,,block,0
Q80-Q89,Q80-Q89,Other congenital malformations,,block,0
Q90-Q99,Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",,block,0
R00-R09,R00-R09,Symptoms and signs involving the circulatory and respiratory systems,,block,0
R10-R19,R10-R19,Symptoms and signs involving the digestive system and abdomen,,block,0
R20-R23,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,,block,0
R25-R29,R25-R29,Symptoms and signs involving the nervous and musculoskeletal systems,,block,0
R30-R39,R30-R39,Symptoms and signs involving the urinary system,,block,0
R40-R46,R40-R46,"Symptoms and signs involving cognition, perception, emotional state and behaviour",,block,0
R47-R49,R47-R49,Symptoms and signs involving speech and voice,,block,0
R50-R69,R50-R69,General symptoms and signs,,block,0
R70-R79,R70-R79,"Abnormal findings on examination of blood, without diagnosis",,block,0
R80-R82,R80-R82,"Abnormal findings on examination of urine, without diagnosis",,block,0
R83-R89,R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",,block,0
R90-R94,R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",,block,0
R95-R99,R95-R99,Ill-defined and unknown causes of mortality,,block,0
S00-S09,S00-S09,Injuries to the head,,block,0
S10-S19,S10-S19,Injuries to the neck,,block,0
S20-S29,S20-S29,Injuries to the thorax,,block,0
S30-S39,S30-S39,"Injuries to the abdomen, lower back, lumbar spine and pelvis",,block,0
S40-S49,S40-S49,Injuries to the shoulder and upper arm,,block,0
S50-S59,S50-S59,Injuries to the elbow and forearm,,block,0
S60-S69,S60-S69,Injuries to the wrist and hand,,block,0
S70-S79,S70-S79,Injuries to the hip and thigh,,block,0
S80-S89,S80-S89,Injuries to the knee and lower leg,,block,0
S90-S99,S90-S99,Injuries to the ankle and foot,,block,0
T00-T07,T00-T07,Injuries involving multiple body regions,,block,0
T08-T14,T08-T14,"Injuries to unspecified part of trunk, limb or body region",,block,0
T15-T19,T15-T19,Effects of foreign body entering through natural orifice,,block,0
T20-T25,T20-T25,"Burns and corrosions of external body surface, specified by site",,block,0
T26-T28,T26-T28,Burns and corrosions confined to eye and internal organs,,block,0
T29-T32,T29-T32,Burns and corrosions of multiple and unspecified body regions,,block,0
T33-T35,T33-T35,Frostbite,,block,0
T36-T50,T36-T50,"Poisoning by drugs, medicaments and biological substances",,block,0
T51-T65,T51-T65,Toxic effects of substances chiefly nonmedicinal as to source,,block,0
T66-T78,T66-T78,Other and unspecified effects of external causes,,block,0
T79-T79,T79-T79,Certain early complications of trauma,,block,0
T80-T88,T80-T88,"Complications of surgical and medical care, not elsewhere classified",,block,0
T90-T98,T90-T98,"Sequelae of injuries, of poisoning and of other consequences of external causes",,block,0
U00-U49,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use,,block,0
U82-U85,U82-U85,Resistance to antimicrobial and antineoplastic drugs,,block,0
V01-V09,V01-V09,Pedestrian injured in transport accident,,block,0
V10-V19,V10-V19,Pedal cyclist injured in transport accident,,block,0
V20-V29,V20-V29,Motorcycle rider injured in transport accident,,block,0
V30-V39,V30-V39,Occupant of three-wheeled motor vehicle injured in transport accident,,block,0
V40-V49,V40-V49,Car occupant injured in transport accident,,block,0
V50-V59,V50-V59,Occupant of pick-up truck or van injured in transport accident,,block,0
V60-V69,V60-V69,Occupant of heavy transport vehicle injured in transport accident,,block,0
V70-V79,V70-V79,Bus occupant injured in transport accident,,block,0
V80-V89,V80-V89,Other land transport accidents,,block,0
V90-V94,V90-V94,Water transport accidents,,block,0
V95-V97,V95-V97,Air and space transport accidents,,block,0
V98-V99,V98-V99,Other and unspecified transport accidents,,block,0
W00-W19,W00-W19,Falls,,block,0
W20-W49,W20-W49,Exposure to inanimate mechanical forces,,block,0
W50-W64,W50-W64,Exposure to animate mechanical forces,,block,0
W65-W74,W65-W74,Accidental drowning and submersion,,block,0
W75-W84,W75-W84,Other accidental threats to breathing,,block,0
W85-W99,W85-W99,"Exposure to electric current, radiation and extreme ambient air temperature and pressure",,block,0
X00-X09,X00-X09,"Exposure to smoke, fire and flames",,block,0
X10-X19,X10-X19,Contact with heat and hot substances,,block,0
X20-X29,X20-X29,Contact with venomous animals and plants,,block,0
X30-X39,X30-X39,Exposure to forces of nature,,block,0
X40-X49,X40-X49,Accidental poisoning by and exposure to noxious substances,,block,0
X50-X57,X50-X57,"Overexertion, travel and privation",,block,0
X58-X59,X58-X59,Accidental exposure to other and unspecified factors,,block,0
X60-X84,X60-X84,Intentional self-harm,,block,0
X85-X99,X85-X99,Assault,,block,0
Y00-Y09,Y00-Y09,Assault,,block,0
Y10-Y34,Y10-Y34,Event of undetermined intent,,block,0
Y35-Y36,Y35-Y36,Legal intervention and operations of war,,block,0
Y40-Y59,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use",,block,0
Y60-Y69,Y60-Y69,Misadventures to patients during surgical and medical care,,block,0
Y70-Y82,Y70-Y82,Medical devices associated with adverse incidents in diagnostic and therapeutic use,,block,0
Y83-Y84,Y83-Y84,"Surgical and other medical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",,block,0
Y85-Y89,Y85-Y89,Sequelae of external causes of morbidity and mortality,,block,0
Y90-Y98,Y90-Y98,Supplementary factors related to causes of morbidity and mortality classified elsewhere,,block,0
Z00-Z13,Z00-Z13,Persons encountering health services for examination and investigation,,block,0
Z20-Z29,Z20-Z29,Persons with potential health hazards related to communicable diseases,,block,0
Z30-Z39,Z30-Z39,Persons encountering health services in circumstances related to reproduction,,block,0
Z40-Z54,Z40-Z54,Persons encountering health services for specific procedures and health care,,block,0
Z55-Z65,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,,block,0
Z70-Z76,Z70-Z76,Persons encountering health services in other circumstances,,block,0
Z80-Z99,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,,block,0
A00,A00,Cholera,A00-A09,category,1
A009,A00.9,"Cholera, unspecified",A00,subcategory,1
A01,A01,Typhoid and paratyphoid fevers,A00-A09,category,1
A010,A01.0,Typhoid fever,A01,subcategory,1
A014,A01.4,"Paratyphoid fever, unspecified",A01,subcategory,1
A02,A02,Other Salmonella infections,A00-A09,category,1
A020,A02.0,Salmonella gastro-enteritis,A02,subcategory,1
A021,A02.1,Salmonella septicaemia,A02,subcategory,1
A022,A02.2,Localised Salmonella infections,A02,subcategory,1
A028,A02.8,Other specified Salmonella infections,A02,subcategory,1
A029,A02.9,"Salmonella infection, unspecified",A02,subcategory,1
A03,A03,Shigellosis,A00-A09,category,1
A030,A03.0,Shigellosis due to Shigella dysenteriae,A03,subcategory,1
A031,A03.1,Shigellosis due to Shigella flexneri,A03,subcategory,1
A033,A03.3,Shigellosis due to Shigella sonnei,A03,subcategory,1
A039,A03.9,"Shigellosis, unspecified",A03,subcategory,1
A04,A04,Other bacterial intestinal infections,A00-A09,category,0
A043,A04.3,Enterohaemorrhagic Escherichia coli infection,A04,subcategory,1
A044,A04.4,Other intestinal Escherichia coli infections,A04,subcategory,1
A045,A04.5,Campylobacter enteritis,A04,subcategory,1
A047,A04.7,Enterocolitis due to Clostridium difficile,A04,subcategory,1
A048,A04.8,Other specified bacterial intestinal infections,A04,subcategory,1
A049,A04.9,"Bacterial intestinal infection, unspecified",A04,subcategory,1
A05,A05,Other bacterial foodborne intoxications,A00-A09,category,1
A050,A05.0,Foodborne staphylococcal intoxication,A05,subcategory,1
A051,A05.1,Botulism,A05,subcategory,1
A058,A05.8,Other specified bacterial foodborne intoxications,A05,subcategory,1
A059,A05.9,"Bacterial foodborne intoxication, unspecified",A05,subcategory,1
A06,A06,Amoebiasis,A00-A09,category,1
A060,A06.0,Acute amoebic dysentery,A06,subcategory,1
A061,A06.1,Chronic intestinal amoebiasis,A06,subcategory,1
A064,A06.4,Amoebic liver abscess,A06,subcategory,1
A065,A06.5,Amoebic lung abscess,A06,subcategory,1
A066,A06.6,Amoebic brain abscess,A06,subcategory,1
A067,A06.7,Cutaneous amoebiasis,A06,subcategory,1
A068,A06.8,Amoebic infection of other sites,A06,subcategory,1
A069,A06.9,"Amoebiasis, unspecified",A06,subcategory,1
A07,A07,Other protozoal intestinal diseases,A00-A09,category,0
A071,A07.1,Giardiasis [lambliasis],A07,subcategory,1
A072,A07.2,Cryptosporidiosis,A07,subcategory,1
A078,A07.8,Other specified protozoal intestinal diseases,A07,subcategory,1
A079,A07.9,"Protozoal intestinal disease, unspecified",A07,subcategory,1
A08,A08,Viral and other specified intestinal infections,A00-A09,category,0
A080,A08.0,Rotaviral enteritis,A08,subcategory,1
A081,A08.1,Acute gastro-enteropathy due to Norwalk agent,A08,subcategory,1
A082,A08.2,Adenoviral enteritis,A08,subcategory,1
A083,A08.3,Other viral enteritis,A08,subcategory,1
A084,A08.4,"Viral intestinal infection, unspecified",A08,subcategory,1
A085,A08.5,Other specified intestinal infections,A08,subcategory,1
A088,A08.8,Other specified intestinal infections,A08,subcategory,1
A09,A09,Diarrhoea and gastro-enteritis of presumed infectious origin,A00-A09,category,1
A090,A09.0,Other and unspecified gastroenteritis and colitis of infectious origin,A09,subcategory,1
A099,A09.9,Gastroenteritis and colitis of unspecified origin,A09,subcategory,1
A15,A15,"Respiratory tuberculosis, bacteriologically and histologically confirmed",A15-A19,category,0
A150,A15.0,"Tuberculosis of lung, confirmed by sputum microscopy with or without culture",A15,subcategory,1
A152,A15.2,"Tuberculosis of lung, confirmed histologically",A15,subcategory,1
A153,A15.3,"Tuberculosis of lung, confirmed by unspecified means",A15,subcategory,1
A155,A15.5,"Tuberculosis of larynx, trachea and bronchus, confirmed bacteriologically and histologically",A15,subcategory,1
A156,A15.6,"Tuberculous pleurisy, confirmed bacteriologically and histologically",A15,subcategory,1
A159,A15.9,"Respiratory tuberculosis unspecified, confirmed bacteriologically and histologically",A15,subcategory,1
A16,A16,"Respiratory tuberculosis, not confirmed bacteriologically or histologically",A15-A19,category,1
A160,A16.0,"Tuberculosis of lung, bacteriologically and histologically negative",A16,subcategory,1
A161,A16.1,"Tuberculosis of lung, bacteriological and histological examination not done",A16,subcategory,1
A162,A16.2,"Tuberculosis of lung, without mention of bacteriological or histological confirmation",A16,subcategory,1
A163,A16.3,"Tuberculosis of intrathoracic lymph nodes, without mention of bacteriological or histological confirmation",A16,subcategory,1
A165,A16.5,"Tuberculous pleurisy, without mention of bacteriological or histological confirmation",A16,subcategory,1
A167,A16.7,Primary respiratory tuberculosis without mention of bacteriological or histological confirmation,A16,subcategory,1
A169,A16.9,"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation",A16,subcategory,1
A17,A17,Tuberculosis of nervous system,A15-A19,category,0
A170,A17.0,Tuberculous meningitis,A17,subcategory,1
A18,A18,Tuberculosis of other organs,A15-A19,category,0
A180,A18.0,Tuberculosis of bones and joints,A18,subcategory,1
A181,A18.1,Tuberculosis of genito-urinary system,A18,subcategory,1
A182,A18.2,Tuberculous peripheral lymphadenopathy,A18,subcategory,1
A183,A18.3,"Tuberculosis of intestines, peritoneum and mesenteric glands",A18,subcategory,1
A184,A18.4,Tuberculosis of skin and subcutaneous tissue,A18,subcategory,1
A185,A18.5,Tuberculosis of eye,A18,subcategory,1
A187,A18.7,Tuberculosis of adrenal glands,A18,subcategory,1
A188,A18.8,Tuberculosis of other specified organs,A18,subcategory,1
A19,A19,Miliary tuberculosis,A15-A19,category,0
A191,A19.1,Acute miliary tuberculosis of multiple sites,A19,subcategory,1
A20,A20,Plague,A20-A28,category,1
A200,A20.0,Bubonic plague,A20,subcategory,1
A209,A20.9,"Plague, unspecified",A20,subcategory,1
A22,A22,Anthrax,A20-A28,category,1
A220,A22.0,Cutaneous anthrax,A22,subcategory,1
A222,A22.2,Gastro-intestinal anthrax,A22,subcategory,1
A229,A22.9,"Anthrax, unspecified",A22,subcategory,1
A23,A23,Brucellosis,A20-A28,category,1
A230,A23.0,Brucellosis due to Brucella melitensis,A23,subcategory,1
A239,A23.9,"Brucellosis, unspecified",A23,subcategory,1
A26,A26,Erysipeloid,A20-A28,category,0
A260,A26.0,Cutaneous erysipeloid,A26,subcategory,1
A27,A27,Leptospirosis,A20-A28,category,1
A270,A27.0,Leptospirosis icterohaemorrhagica,A27,subcategory,1
A279,A27.9,"Leptospirosis, unspecified",A27,subcategory,1
A28,A28,"Other zoonotic bacterial diseases, not elsewhere classified",A20-A28,category,0
A280,A28.0,Pasteurellosis,A28,subcategory,1
A281,A28.1,Cat-scratch disease,A28,subcategory,1
A282,A28.2,Extraintestinal yersiniosis,A28,subcategory,1
A30,A30,Leprosy [Hansen's disease],A30-A49,category,1
A31,A31,Infection due to other mycobacteria,A30-A49,category,1
A310,A31.0,Pulmonary mycobacterial infection,A31,subcategory,1
A311,A31.1,Cutaneous mycobacterial infection,A31,subcategory,1
A318,A31.8,Other mycobacterial infections,A31,subcategory,1
A319,A31.9,"Mycobacterial infection, unspecified",A31,subcategory,1
A32,A32,Listeriosis,A30-A49,category,0
A321,A32.1,Listerial meningitis and meningoencephalitis,A32,subcategory,1
A327,A32.7,Listerial septicaemia,A32,subcategory,1
A329,A32.9,"Listeriosis, unspecified",A32,subcategory,1
A34,A34,Obstetrical tetanus,A30-A49,category,1
A35,A35,Other tetanus,A30-A49,category,1
A36,A36,Diphtheria,A30-A49,category,1
A363,A36.3,Cutaneous diphtheria,A36,subcategory,1
A368,A36.8,Other diphtheria,A36,subcategory,1
A369,A36.9,"Diphtheria, unspecified",A36,subcategory,1
A37,A37,Whooping cough,A30-A49,category,1
A370,A37.0,Whooping cough due to Bordetella pertussis,A37,subcategory,1
A378,A37.8,Whooping cough due to other Bordetella species,A37,subcategory,1
A379,A37.9,"Whooping cough, unspecified",A37,subcategory,1
A3790,A37.90,"Whooping cough, unspecified species without pneumonia",A379,extension,1
A38,A38,Scarlet fever,A30-A49,category,1
A39,A39,Meningococcal infection,A30-A49,category,1
A390,A39.0,Meningococcal meningitis,A39,subcategory,1
A391,A39.1,Waterhouse-Friderichsen syndrome,A39,subcategory,1
A392,A39.2,Acute meningococcaemia,A39,subcategory,1
A393,A39.3,Chronic meningococcaemia,A39,subcategory,1
A394,A39.4,"Meningococcaemia, unspecified",A39,subcategory,1
A398,A39.8,Other meningococcal infections,A39,subcategory,1
A399,A39.9,"Meningococcal infection, unspecified",A39,subcategory,1
A40,A40,Streptococcal septicaemia,A30-A49,category,1
A400,A40.0,"Septicaemia due to streptococcus, group A",A40,subcategory,1
A401,A40.1,"Septicaemia due to streptococcus, group B",A40,subcategory,1
A402,A40.2,"Septicaemia due to streptococcus, group D",A40,subcategory,1
A403,A40.3,Septicaemia due to Streptococcus pneumoniae,A40,subcategory,1
A408,A40.8,Other streptococcal septicaemia,A40,subcategory,1
A409,A40.9,"Streptococcal septicaemia, unspecified",A40,subcategory,1
A41,A41,Other septicaemia,A30-A49,category,1
A410,A41.0,Septicaemia due to Staphylococcus aureus,A41,subcategory,1
A411,A41.1,Septicaemia due to other specified staphylococcus,A41,subcategory,1
A412,A41.2,Septicaemia due to unspecified staphylococcus,A41,subcategory,1
A413,A41.3,Septicaemia due to Haemophilus influenzae,A41,subcategory,1
A414,A41.4,Septicaemia due to anaerobes,A41,subcategory,1
A415,A41.5,Septicaemia due to other Gram-negative organisms,A41,subcategory,1
A418,A41.8,Other specified septicaemia,A41,subcategory,1
A4189,A41.89,Other specified sepsis,A418,extension,1
A419,A41.9,"Septicaemia, unspecified",A41,subcategory,1
A42,A42,Actinomycosis,A30-A49,category,1
A421,A42.1,Abdominal actinomycosis,A42,subcategory,1
A428,A42.8,Other forms of actinomycosis,A42,subcategory,1
A429,A42.9,"Actinomycosis, unspecified",A42,subcategory,1
A43,A43,Nocardiosis,A30-A49,category,1
A439,A43.9,"Nocardiosis, unspecified",A43,subcategory,1
A46,A46,Erysipelas,A30-A49,category,1
A48,A48,"Other bacterial diseases, not elsewhere classified",A30-A49,category,0
A480,A48.0,Gas gangrene,A48,subcategory,1
A481,A48.1,Legionnaires' disease,A48,subcategory,1
