disease,pathway,source,gene_count,enrichment_ratio,p_value,p_adjusted,rank
Pulmonary Fibrosis,Signaling by Interleukins,Reactome,35,3.89,2.75e-05,2.60e-04,25
Pulmonary Fibrosis,p53 signaling pathway,KEGG,41,3.73,5.93e-05,2.68e-04,26
Pulmonary Fibrosis,PI3K-Akt signaling pathway,KEGG,42,4.47,1.22e-04,4.25e-04,27
Pulmonary Fibrosis,Integrin cell surface interactions,Reactome,10,3.44,3.93e-04,2.41e-03,28
Pulmonary Fibrosis,Immune response,GO_BP,35,1.37,3.67e-04,2.86e-03,29
Pulmonary Fibrosis,Cell cycle,KEGG,27,2.73,7.15e-04,3.89e-03,30
Pulmonary Fibrosis,Collagen biosynthesis,Reactome,9,3.78,1.61e-03,6.42e-03,31
Pulmonary Fibrosis,Wound healing,GO_BP,23,1.46,1.28e-03,6.84e-03,32
Pulmonary Fibrosis,Hippo signaling pathway,KEGG,40,1.75,1.67e-03,7.87e-03,33
Pulmonary Fibrosis,Collagen metabolic process,GO_BP,16,1.26,1.26e-03,1.18e-02,34
Pulmonary Fibrosis,Extracellular matrix organization,GO_BP,9,4.16,5.97e-03,1.53e-02,35
Pulmonary Fibrosis,Extracellular matrix disassembly,Reactome,41,1.98,1.78e-03,1.63e-02,36
Pulmonary Fibrosis,Wnt signaling pathway,KEGG,30,2.63,7.56e-03,2.03e-02,37
Pulmonary Fibrosis,Apoptosis,KEGG,14,4.19,5.98e-03,4.50e-02,38
Pulmonary Fibrosis,Signaling by VEGF,Reactome,9,1.89,1.34e-02,1.07e-01,39
Pulmonary Fibrosis,Collagen fibril organization,GO_BP,32,3.66,1.57e-02,1.09e-01,40
SSc_Connective_Tissue,Angiogenesis,GO_BP,12,3.55,1.33e-08,3.15e-08,1
SSc_Connective_Tissue,Cell proliferation,GO_BP,27,3.44,2.99e-08,1.29e-07,2
SSc_Connective_Tissue,Wnt signaling pathway,KEGG,42,3.24,2.67e-08,2.49e-07,3
SSc_Connective_Tissue,TNF signaling pathway,KEGG,26,3.87,6.16e-08,4.10e-07,4
SSc_Connective_Tissue,Hippo signaling pathway,KEGG,21,2.13,1.28e-07,4.85e-07,5
SSc_Connective_Tissue,mTOR signaling pathway,KEGG,21,2.04,1.38e-07,1.07e-06,6
SSc_Connective_Tissue,Integrin cell surface interactions,Reactome,34,1.59,2.61e-07,1.32e-06,7
SSc_Connective_Tissue,Regulation of complement cascade,Reactome,43,2.43,5.55e-07,1.70e-06,8
SSc_Connective_Tissue,JAK-STAT signaling pathway,KEGG,34,3.27,4.98e-07,3.14e-06,9
SSc_Connective_Tissue,Cell adhesion molecules,KEGG,33,2.1,1.30e-06,3.43e-06,10
SSc_Connective_Tissue,Toll-like receptor signaling pathway,KEGG,28,1.83,6.16e-07,3.82e-06,11
SSc_Connective_Tissue,TGF-beta signaling pathway,KEGG,28,1.69,3.96e-07,3.86e-06,12
SSc_Connective_Tissue,PI3K-Akt signaling pathway,KEGG,34,3.23,6.78e-07,5.25e-06,13
SSc_Connective_Tissue,Signaling by VEGF,Reactome,22,4.38,1.38e-06,9.44e-06,14
SSc_Connective_Tissue,Wound healing,GO_BP,22,4.18,1.65e-06,1.12e-05,15
SSc_Connective_Tissue,Apoptosis,KEGG,5,3.05,8.24e-06,2.53e-05,16
SSc_Connective_Tissue,Signaling by PDGF,Reactome,23,3.92,1.48e-05,5.30e-05,17
SSc_Connective_Tissue,Response to oxidative stress,GO_BP,44,1.25,1.29e-05,5.40e-05,18
SSc_Connective_Tissue,Immune response,GO_BP,17,1.5,4.35e-05,1.18e-04,19
SSc_Connective_Tissue,Signaling by TGF-beta,Reactome,42,1.28,2.75e-05,1.32e-04,20
SSc_Connective_Tissue,Signaling by Interleukins,Reactome,26,2.96,4.64e-05,1.68e-04,21
SSc_Connective_Tissue,Fibroblast proliferation,GO_BP,29,2.15,5.54e-05,1.91e-04,22
SSc_Connective_Tissue,p53 signaling pathway,KEGG,26,1.98,2.11e-05,2.09e-04,23
SSc_Connective_Tissue,MAPK signaling pathway,KEGG,34,3.63,8.73e-05,4.98e-04,24
SSc_Connective_Tissue,Focal adhesion,KEGG,5,2.93,8.73e-05,6.17e-04,25
SSc_Connective_Tissue,Chemokine signaling pathway,KEGG,43,2.63,2.41e-04,1.25e-03,26
SSc_Connective_Tissue,Oxidative phosphorylation,KEGG,12,3.66,1.45e-03,9.11e-03,27
SSc_Connective_Tissue,Cytokine-cytokine receptor interaction,KEGG,43,3.96,1.29e-03,1.15e-02,28
SSc_Connective_Tissue,Notch signaling pathway,KEGG,37,4.35,1.42e-03,1.33e-02,29
SSc_Connective_Tissue,Extracellular matrix disassembly,Reactome,38,4.36,4.32e-03,1.88e-02,30
SSc_Connective_Tissue,Collagen biosynthesis,Reactome,25,1.73,3.79e-03,3.32e-02,31
SSc_Connective_Tissue,Cell cycle,KEGG,26,2.03,4.14e-03,4.05e-02,32
SSc_Connective_Tissue,Collagen metabolic process,GO_BP,6,2.46,1.62e-02,4.07e-02,33
SSc_Connective_Tissue,NF-kappa B signaling pathway,KEGG,25,4.01,1.46e-02,5.57e-02,34
SSc_Connective_Tissue,Degradation of ECM,Reactome,28,4.22,2.19e-02,6.37e-02,35
SSc_Connective_Tissue,MET activates RAS signaling,Reactome,17,1.95,7.44e-03,7.04e-02,36
SSc_Connective_Tissue,Collagen fibril organization,GO_BP,12,1.24,9.63e-03,9.13e-02,37
SSc_Connective_Tissue,Extracellular matrix organization,GO_BP,32,1.7,2.16e-02,1.33e-01,38
SSc_Connective_Tissue,Inflammatory response,GO_BP,35,2.04,3.08e-02,1.65e-01,39
SSc_Connective_Tissue,ECM-receptor interaction,KEGG,11,2.66,3.01e-02,2.75e-01,40
Crohns_Disease,mTOR signaling pathway,KEGG,15,2.92,1.32e-08,4.78e-08,1
Crohns_Disease,Cytokine-cytokine receptor interaction,KEGG,30,3.12,1.08e-08,7.60e-08,2
Crohns_Disease,Signaling by VEGF,Reactome,6,1.71,3.62e-08,7.74e-08,3
Crohns_Disease,MET activates RAS signaling,Reactome,41,2.58,2.15e-08,1.00e-07,4
Crohns_Disease,Apoptosis,KEGG,39,2.81,5.46e-08,1.92e-07,5
Crohns_Disease,Cell proliferation,GO_BP,28,3.66,3.09e-08,2.64e-07,6
Crohns_Disease,Chemokine signaling pathway,KEGG,40,1.3,4.34e-08,3.19e-07,7
Crohns_Disease,Signaling by PDGF,Reactome,45,3.09,7.41e-08,6.76e-07,8
Crohns_Disease,JAK-STAT signaling pathway,KEGG,40,3.44,8.34e-08,7.31e-07,9
Crohns_Disease,Collagen metabolic process,GO_BP,29,1.94,1.18e-07,7.34e-07,10
Crohns_Disease,Signaling by TGF-beta,Reactome,12,4.02,1.36e-07,8.53e-07,11
Crohns_Disease,Cell adhesion molecules,KEGG,24,1.69,2.56e-07,1.57e-06,12
Crohns_Disease,Hippo signaling pathway,KEGG,27,2.39,2.61e-07,1.77e-06,13
Crohns_Disease,Extracellular matrix organization,GO_BP,11,4.12,3.85e-07,3.32e-06,14
Crohns_Disease,TNF signaling pathway,KEGG,29,3.59,5.83e-06,3.11e-05,15
Crohns_Disease,Fibroblast proliferation,GO_BP,38,2.2,9.77e-06,4.25e-05,16
Crohns_Disease,Oxidative phosphorylation,KEGG,45,3.33,8.10e-06,6.97e-05,17
Crohns_Disease,Degradation of ECM,Reactome,38,1.49,9.74e-06,8.70e-05,18
Crohns_Disease,Angiogenesis,GO_BP,7,2.18,1.63e-05,9.59e-05,19
Crohns_Disease,MAPK signaling pathway,KEGG,12,2.58,1.68e-05,1.03e-04,20
Crohns_Disease,TGF-beta signaling pathway,KEGG,17,3.37,1.69e-05,1.46e-04,21
Crohns_Disease,PI3K-Akt signaling pathway,KEGG,16,2.11,4.84e-05,2.33e-04,22
Crohns_Disease,Immune response,GO_BP,42,2.3,3.28e-05,2.71e-04,23
Crohns_Disease,Toll-like receptor signaling pathway,KEGG,17,2.97,2.17e-04,1.14e-03,24
Crohns_Disease,Integrin cell surface interactions,Reactome,14,4.08,5.36e-04,1.47e-03,25
Crohns_Disease,Wnt signaling pathway,KEGG,35,3.83,8.72e-04,3.89e-03,26
Crohns_Disease,Cell cycle,KEGG,39,3.6,5.46e-04,5.12e-03,27
Crohns_Disease,Collagen fibril organization,GO_BP,8,1.45,2.19e-03,5.59e-03,28
Crohns_Disease,Signaling by Interleukins,Reactome,9,2.02,1.92e-03,8.78e-03,29
Crohns_Disease,Wound healing,GO_BP,27,1.32,1.77e-03,1.08e-02,30
Crohns_Disease,Regulation of complement cascade,Reactome,13,2.0,7.35e-03,1.68e-02,31
Crohns_Disease,p53 signaling pathway,KEGG,7,3.49,1.85e-03,1.80e-02,32
Crohns_Disease,Collagen biosynthesis,Reactome,5,4.35,4.99e-03,1.89e-02,33
Crohns_Disease,Extracellular matrix disassembly,Reactome,19,2.59,2.32e-03,2.12e-02,34
Crohns_Disease,NF-kappa B signaling pathway,KEGG,41,4.49,3.67e-03,2.21e-02,35
Crohns_Disease,Response to oxidative stress,GO_BP,27,2.54,1.00e-02,3.80e-02,36
Crohns_Disease,Focal adhesion,KEGG,28,3.49,1.11e-02,4.95e-02,37
Crohns_Disease,Notch signaling pathway,KEGG,22,2.81,1.20e-02,6.28e-02,38
Crohns_Disease,ECM-receptor interaction,KEGG,31,2.5,1.62e-02,1.09e-01,39
Crohns_Disease,Inflammatory response,GO_BP,32,3.43,2.21e-02,1.66e-01,40
Fibrosis_of_Skin,Integrin cell surface interactions,Reactome,6,4.11,1.46e-08,3.97e-08,1
Fibrosis_of_Skin,Cell cycle,KEGG,34,3.52,3.36e-08,1.31e-07,2
Fibrosis_of_Skin,TNF signaling pathway,KEGG,5,2.1,4.41e-08,3.23e-07,3
Fibrosis_of_Skin,Signaling by TGF-beta,Reactome,22,1.76,4.35e-08,3.46e-07,4
Fibrosis_of_Skin,ECM-receptor interaction,KEGG,13,3.14,7.45e-08,4.40e-07,5
Fibrosis_of_Skin,Wnt signaling pathway,KEGG,22,2.27,1.03e-07,4.71e-07,6
Fibrosis_of_Skin,Signaling by PDGF,Reactome,6,2.79,1.18e-07,9.15e-07,7
Fibrosis_of_Skin,Signaling by VEGF,Reactome,19,2.04,1.65e-07,1.02e-06,8
Fibrosis_of_Skin,Signaling by Interleukins,Reactome,34,1.65,1.60e-07,1.08e-06,9
Fibrosis_of_Skin,Extracellular matrix disassembly,Reactome,9,1.73,7.87e-07,1.86e-06,10
Fibrosis_of_Skin,Collagen biosynthesis,Reactome,10,3.69,1.35e-06,4.64e-06,11
Fibrosis_of_Skin,Fibroblast proliferation,GO_BP,28,2.09,5.87e-07,5.21e-06,12
Fibrosis_of_Skin,Immune response,GO_BP,11,2.42,8.59e-07,5.46e-06,13
Fibrosis_of_Skin,Regulation of complement cascade,Reactome,37,2.77,7.54e-07,5.54e-06,14
Fibrosis_of_Skin,p53 signaling pathway,KEGG,20,4.04,1.93e-06,7.90e-06,15
Fibrosis_of_Skin,Collagen fibril organization,GO_BP,8,3.22,9.88e-07,9.14e-06,16
Fibrosis_of_Skin,MET activates RAS signaling,Reactome,43,3.01,2.17e-06,1.22e-05,17
Fibrosis_of_Skin,Cytokine-cytokine receptor interaction,KEGG,11,2.2,1.83e-06,1.57e-05,18
Fibrosis_of_Skin,Response to oxidative stress,GO_BP,34,2.39,6.09e-06,5.50e-05,19
Fibrosis_of_Skin,Apoptosis,KEGG,20,3.31,1.22e-05,9.91e-05,20
Fibrosis_of_Skin,MAPK signaling pathway,KEGG,33,2.53,2.23e-05,1.05e-04,21
Fibrosis_of_Skin,Chemokine signaling pathway,KEGG,20,2.69,1.62e-05,1.14e-04,22
Fibrosis_of_Skin,Cell adhesion molecules,KEGG,37,1.54,1.65e-05,1.20e-04,23
Fibrosis_of_Skin,Wound healing,GO_BP,26,2.63,3.88e-05,1.97e-04,24
Fibrosis_of_Skin,Inflammatory response,GO_BP,14,2.46,8.75e-05,4.37e-04,25
Fibrosis_of_Skin,Focal adhesion,KEGG,42,2.15,7.73e-04,2.22e-03,26
Fibrosis_of_Skin,Oxidative phosphorylation,KEGG,15,1.62,2.67e-04,2.42e-03,27
Fibrosis_of_Skin,PI3K-Akt signaling pathway,KEGG,21,2.71,6.54e-04,5.01e-03,28
Fibrosis_of_Skin,TGF-beta signaling pathway,KEGG,22,1.85,1.39e-03,7.05e-03,29
Fibrosis_of_Skin,Degradation of ECM,Reactome,13,2.18,4.18e-03,1.12e-02,30
Fibrosis_of_Skin,Notch signaling pathway,KEGG,13,3.29,1.77e-03,1.49e-02,31
Fibrosis_of_Skin,Cell proliferation,GO_BP,28,3.25,9.34e-03,2.29e-02,32
Fibrosis_of_Skin,mTOR signaling pathway,KEGG,20,3.66,2.53e-03,2.49e-02,33
Fibrosis_of_Skin,JAK-STAT signaling pathway,KEGG,18,2.02,1.23e-02,2.88e-02,34
Fibrosis_of_Skin,Toll-like receptor signaling pathway,KEGG,24,2.71,1.02e-02,5.18e-02,35
Fibrosis_of_Skin,Collagen metabolic process,GO_BP,29,3.66,7.63e-03,6.56e-02,36
Fibrosis_of_Skin,Hippo signaling pathway,KEGG,14,1.98,3.05e-02,1.04e-01,37
Fibrosis_of_Skin,Extracellular matrix organization,GO_BP,41,1.2,1.49e-02,1.39e-01,38
Fibrosis_of_Skin,NF-kappa B signaling pathway,KEGG,30,3.97,1.90e-02,1.67e-01,39
Fibrosis_of_Skin,Angiogenesis,GO_BP,24,4.35,3.04e-02,2.56e-01,40
