variant,disease,metric,value,full_model_value,delta
w/o Genetic Data,COPD,Recall,0.8488,0.8637,-0.0149
w/o Ontology Graph,COPD,Recall,0.8251,0.8637,-0.0386
w/o Attention Mechanism,COPD,Recall,0.805,0.8637,-0.0587
w/o EHR Sequences,COPD,Recall,0.8555,0.8637,-0.0082
w/o Pre-training,COPD,Recall,0.8518,0.8637,-0.0119
w/o Genetic Data,Atrial Fibrillation,AUROC,0.8528,0.8943,-0.0415
w/o Ontology Graph,Atrial Fibrillation,AUROC,0.8396,0.8943,-0.0547
w/o Attention Mechanism,Atrial Fibrillation,AUROC,0.8703,0.8943,-0.024
w/o EHR Sequences,Atrial Fibrillation,AUROC,0.8369,0.8943,-0.0574
w/o Pre-training,Atrial Fibrillation,AUROC,0.8689,0.8943,-0.0254
w/o Genetic Data,Atrial Fibrillation,AUPRC,0.846,0.8643,-0.0183
w/o Ontology Graph,Atrial Fibrillation,AUPRC,0.8257,0.8643,-0.0386
w/o Attention Mechanism,Atrial Fibrillation,AUPRC,0.8199,0.8643,-0.0444
w/o EHR Sequences,Atrial Fibrillation,AUPRC,0.8575,0.8643,-0.0068
w/o Pre-training,Atrial Fibrillation,AUPRC,0.8047,0.8643,-0.0596
w/o Genetic Data,Atrial Fibrillation,F1,0.8452,0.8953,-0.0501
w/o Ontology Graph,Atrial Fibrillation,F1,0.8476,0.8953,-0.0477
w/o Attention Mechanism,Atrial Fibrillation,F1,0.8881,0.8953,-0.0072
w/o EHR Sequences,Atrial Fibrillation,F1,0.8693,0.8953,-0.026
w/o Pre-training,Atrial Fibrillation,F1,0.8719,0.8953,-0.0234
w/o Genetic Data,Atrial Fibrillation,Precision,0.8394,0.8633,-0.0239
w/o Ontology Graph,Atrial Fibrillation,Precision,0.8227,0.8633,-0.0406
w/o Attention Mechanism,Atrial Fibrillation,Precision,0.8434,0.8633,-0.0199
w/o EHR Sequences,Atrial Fibrillation,Precision,0.8363,0.8633,-0.027
w/o Pre-training,Atrial Fibrillation,Precision,0.832,0.8633,-0.0313
w/o Genetic Data,Atrial Fibrillation,Recall,0.8084,0.8322,-0.0238
w/o Ontology Graph,Atrial Fibrillation,Recall,0.7965,0.8322,-0.0357
w/o Attention Mechanism,Atrial Fibrillation,Recall,0.8007,0.8322,-0.0315
w/o EHR Sequences,Atrial Fibrillation,Recall,0.7924,0.8322,-0.0398
w/o Pre-training,Atrial Fibrillation,Recall,0.7946,0.8322,-0.0376
w/o Genetic Data,Heart Failure,AUROC,0.7779,0.8225,-0.0446
w/o Ontology Graph,Heart Failure,AUROC,0.7978,0.8225,-0.0247
w/o Attention Mechanism,Heart Failure,AUROC,0.7714,0.8225,-0.0511
w/o EHR Sequences,Heart Failure,AUROC,0.806,0.8225,-0.0165
w/o Pre-training,Heart Failure,AUROC,0.7777,0.8225,-0.0448
w/o Genetic Data,Heart Failure,AUPRC,0.8587,0.8967,-0.038
w/o Ontology Graph,Heart Failure,AUPRC,0.8802,0.8967,-0.0165
w/o Attention Mechanism,Heart Failure,AUPRC,0.8842,0.8967,-0.0125
w/o EHR Sequences,Heart Failure,AUPRC,0.8678,0.8967,-0.0289
w/o Pre-training,Heart Failure,AUPRC,0.8798,0.8967,-0.0169
w/o Genetic Data,Heart Failure,F1,0.8326,0.8458,-0.0132
w/o Ontology Graph,Heart Failure,F1,0.7889,0.8458,-0.0569
w/o Attention Mechanism,Heart Failure,F1,0.8025,0.8458,-0.0433
w/o EHR Sequences,Heart Failure,F1,0.832,0.8458,-0.0138
w/o Pre-training,Heart Failure,F1,0.7887,0.8458,-0.0571
w/o Genetic Data,Heart Failure,Precision,0.8414,0.872,-0.0306
w/o Ontology Graph,Heart Failure,Precision,0.8178,0.872,-0.0542
w/o Attention Mechanism,Heart Failure,Precision,0.8212,0.872,-0.0508
w/o EHR Sequences,Heart Failure,Precision,0.8222,0.872,-0.0498
w/o Pre-training,Heart Failure,Precision,0.8396,0.872,-0.0324
w/o Genetic Data,Heart Failure,Recall,0.8142,0.8377,-0.0235
w/o Ontology Graph,Heart Failure,Recall,0.8008,0.8377,-0.0369
w/o Attention Mechanism,Heart Failure,Recall,0.8271,0.8377,-0.0106
w/o EHR Sequences,Heart Failure,Recall,0.8199,0.8377,-0.0178
w/o Pre-training,Heart Failure,Recall,0.8201,0.8377,-0.0176
w/o Genetic Data,Asthma,AUROC,0.82,0.8672,-0.0472
w/o Ontology Graph,Asthma,AUROC,0.8238,0.8672,-0.0434
w/o Attention Mechanism,Asthma,AUROC,0.8135,0.8672,-0.0537
w/o EHR Sequences,Asthma,AUROC,0.8618,0.8672,-0.0054
w/o Pre-training,Asthma,AUROC,0.8241,0.8672,-0.0431
w/o Genetic Data,Asthma,AUPRC,0.8102,0.8512,-0.041
w/o Ontology Graph,Asthma,AUPRC,0.8324,0.8512,-0.0188
w/o Attention Mechanism,Asthma,AUPRC,0.7969,0.8512,-0.0543
w/o EHR Sequences,Asthma,AUPRC,0.835,0.8512,-0.0162
w/o Pre-training,Asthma,AUPRC,0.8217,0.8512,-0.0295
w/o Genetic Data,Asthma,F1,0.8312,0.8467,-0.0155
w/o Ontology Graph,Asthma,F1,0.7929,0.8467,-0.0538
w/o Attention Mechanism,Asthma,F1,0.8309,0.8467,-0.0158
w/o EHR Sequences,Asthma,F1,0.8349,0.8467,-0.0118
w/o Pre-training,Asthma,F1,0.8072,0.8467,-0.0395
w/o Genetic Data,Asthma,Precision,0.8754,0.9087,-0.0333
w/o Ontology Graph,Asthma,Precision,0.8744,0.9087,-0.0343
w/o Attention Mechanism,Asthma,Precision,0.8835,0.9087,-0.0252
w/o EHR Sequences,Asthma,Precision,0.8688,0.9087,-0.0399
w/o Pre-training,Asthma,Precision,0.8504,0.9087,-0.0583
w/o Genetic Data,Asthma,Recall,0.7923,0.8328,-0.0405
w/o Ontology Graph,Asthma,Recall,0.7788,0.8328,-0.054
w/o Attention Mechanism,Asthma,Recall,0.7934,0.8328,-0.0394
w/o EHR Sequences,Asthma,Recall,0.8271,0.8328,-0.0057
w/o Pre-training,Asthma,Recall,0.8022,0.8328,-0.0306
