model,disease,metric,value,ci_lower,ci_upper,is_proposed
XGBoost,Heart Failure,Recall,0.7762,0.765,0.7874,False
XGBoost,Asthma,AUROC,0.85,0.8256,0.8744,False
XGBoost,Asthma,AUPRC,0.8336,0.8199,0.8472,False
XGBoost,Asthma,F1,0.8399,0.8228,0.8569,False
XGBoost,Asthma,Precision,0.8378,0.8296,0.846,False
XGBoost,Asthma,Recall,0.8159,0.7934,0.8383,False
Random Forest,Type 2 Diabetes,AUROC,0.8295,0.8055,0.8535,False
Random Forest,Type 2 Diabetes,AUPRC,0.7914,0.7691,0.8137,False
Random Forest,Type 2 Diabetes,F1,0.7988,0.7745,0.8231,False
Random Forest,Type 2 Diabetes,Precision,0.8055,0.7904,0.8205,False
Random Forest,Type 2 Diabetes,Recall,0.8106,0.7918,0.8294,False
Random Forest,Coronary Heart Disease,AUROC,0.79,0.7805,0.7994,False
Random Forest,Coronary Heart Disease,AUPRC,0.8001,0.7774,0.8227,False
Random Forest,Coronary Heart Disease,F1,0.7941,0.7819,0.8062,False
Random Forest,Coronary Heart Disease,Precision,0.7727,0.7606,0.7848,False
Random Forest,Coronary Heart Disease,Recall,0.794,0.7699,0.8181,False
Random Forest,CKD,AUROC,0.767,0.7526,0.7814,False
Random Forest,CKD,AUPRC,0.7559,0.7407,0.7711,False
Random Forest,CKD,F1,0.7636,0.745,0.7823,False
Random Forest,CKD,Precision,0.7533,0.7321,0.7745,False
Random Forest,CKD,Recall,0.7951,0.7858,0.8044,False
Random Forest,COPD,AUROC,0.8027,0.7927,0.8127,False
Random Forest,COPD,AUPRC,0.8076,0.7949,0.8204,False
Random Forest,COPD,F1,0.7941,0.7724,0.8158,False
Random Forest,COPD,Precision,0.7957,0.7855,0.8059,False
Random Forest,COPD,Recall,0.8181,0.799,0.8373,False
Random Forest,Atrial Fibrillation,AUROC,0.7841,0.7682,0.7999,False
Random Forest,Atrial Fibrillation,AUPRC,0.8173,0.803,0.8315,False
Random Forest,Atrial Fibrillation,F1,0.7826,0.7673,0.7979,False
Random Forest,Atrial Fibrillation,Precision,0.7709,0.7473,0.7945,False
Random Forest,Atrial Fibrillation,Recall,0.7715,0.7522,0.7909,False
Random Forest,Heart Failure,AUROC,0.8291,0.8153,0.8429,False
Random Forest,Heart Failure,AUPRC,0.7817,0.7571,0.8063,False
Random Forest,Heart Failure,F1,0.8087,0.8003,0.8172,False
Random Forest,Heart Failure,Precision,0.7749,0.7629,0.787,False
Random Forest,Heart Failure,Recall,0.8192,0.8005,0.8379,False
Random Forest,Asthma,AUROC,0.8455,0.8361,0.8549,False
Random Forest,Asthma,AUPRC,0.8414,0.8186,0.8643,False
Random Forest,Asthma,F1,0.8398,0.8155,0.8641,False
Random Forest,Asthma,Precision,0.8266,0.8148,0.8384,False
Random Forest,Asthma,Recall,0.8336,0.8198,0.8475,False
Logistic Regression,Type 2 Diabetes,AUROC,0.7293,0.71,0.7486,False
Logistic Regression,Type 2 Diabetes,AUPRC,0.6883,0.6793,0.6974,False
Logistic Regression,Type 2 Diabetes,F1,0.7269,0.7112,0.7426,False
Logistic Regression,Type 2 Diabetes,Precision,0.6976,0.673,0.7222,False
Logistic Regression,Type 2 Diabetes,Recall,0.6906,0.6798,0.7013,False
Logistic Regression,Coronary Heart Disease,AUROC,0.7054,0.6921,0.7188,False
Logistic Regression,Coronary Heart Disease,AUPRC,0.7349,0.7148,0.7549,False
Logistic Regression,Coronary Heart Disease,F1,0.7057,0.6962,0.7153,False
Logistic Regression,Coronary Heart Disease,Precision,0.7276,0.7146,0.7406,False
Logistic Regression,Coronary Heart Disease,Recall,0.7078,0.6948,0.7208,False
Logistic Regression,CKD,AUROC,0.7625,0.7538,0.7711,False
Logistic Regression,CKD,AUPRC,0.7435,0.7248,0.7622,False
Logistic Regression,CKD,F1,0.7331,0.7121,0.7541,False
Logistic Regression,CKD,Precision,0.753,0.7445,0.7614,False
Logistic Regression,CKD,Recall,0.7293,0.7089,0.7498,False
Logistic Regression,COPD,AUROC,0.6994,0.6904,0.7084,False
Logistic Regression,COPD,AUPRC,0.7093,0.6868,0.7319,False
Logistic Regression,COPD,F1,0.6903,0.6794,0.7012,False
Logistic Regression,COPD,Precision,0.7274,0.7068,0.7479,False
Logistic Regression,COPD,Recall,0.693,0.6801,0.7058,False
Logistic Regression,Atrial Fibrillation,AUROC,0.7219,0.702,0.7419,False
Logistic Regression,Atrial Fibrillation,AUPRC,0.6747,0.6592,0.6901,False
Logistic Regression,Atrial Fibrillation,F1,0.6949,0.682,0.7078,False
Logistic Regression,Atrial Fibrillation,Precision,0.7355,0.7177,0.7533,False
Logistic Regression,Atrial Fibrillation,Recall,0.6994,0.6899,0.7089,False
Logistic Regression,Heart Failure,AUROC,0.7156,0.6982,0.733,False
Logistic Regression,Heart Failure,AUPRC,0.7449,0.7257,0.7642,False
Logistic Regression,Heart Failure,F1,0.7275,0.7135,0.7415,False
Logistic Regression,Heart Failure,Precision,0.7039,0.6949,0.713,False
Logistic Regression,Heart Failure,Recall,0.7131,0.7047,0.7216,False
Logistic Regression,Asthma,AUROC,0.7318,0.7083,0.7554,False
Logistic Regression,Asthma,AUPRC,0.7625,0.7433,0.7816,False
Logistic Regression,Asthma,F1,0.7538,0.7304,0.7772,False
Logistic Regression,Asthma,Precision,0.7326,0.7232,0.7421,False
Logistic Regression,Asthma,Recall,0.7533,0.73,0.7766,False
LSTM,Type 2 Diabetes,AUROC,0.7185,0.6969,0.7401,False
LSTM,Type 2 Diabetes,AUPRC,0.7187,0.7067,0.7306,False
LSTM,Type 2 Diabetes,F1,0.6958,0.6742,0.7174,False
LSTM,Type 2 Diabetes,Precision,0.7158,0.7044,0.7273,False
LSTM,Type 2 Diabetes,Recall,0.7036,0.6854,0.7218,False
LSTM,Coronary Heart Disease,AUROC,0.6874,0.6764,0.6984,False
LSTM,Coronary Heart Disease,AUPRC,0.6837,0.6742,0.6932,False
LSTM,Coronary Heart Disease,F1,0.7066,0.6902,0.7229,False
LSTM,Coronary Heart Disease,Precision,0.7001,0.679,0.7211,False
LSTM,Coronary Heart Disease,Recall,0.7097,0.6991,0.7202,False
LSTM,CKD,AUROC,0.6939,0.6709,0.7169,False
LSTM,CKD,AUPRC,0.7098,0.6849,0.7347,False
LSTM,CKD,F1,0.6974,0.6887,0.7061,False
LSTM,CKD,Precision,0.7071,0.6896,0.7246,False
LSTM,CKD,Recall,0.7433,0.7325,0.754,False
LSTM,COPD,AUROC,0.6804,0.6629,0.6978,False
LSTM,COPD,AUPRC,0.6691,0.6513,0.6869,False
LSTM,COPD,F1,0.665,0.6454,0.6845,False
LSTM,COPD,Precision,0.6791,0.6679,0.6903,False
LSTM,COPD,Recall,0.6971,0.675,0.7191,False
LSTM,Atrial Fibrillation,AUROC,0.7432,0.7251,0.7612,False
LSTM,Atrial Fibrillation,AUPRC,0.7252,0.7135,0.7368,False
LSTM,Atrial Fibrillation,F1,0.7304,0.7169,0.7438,False
LSTM,Atrial Fibrillation,Precision,0.7544,0.7346,0.7743,False
LSTM,Atrial Fibrillation,Recall,0.7255,0.7159,0.7351,False
LSTM,Heart Failure,AUROC,0.7218,0.7064,0.7371,False
LSTM,Heart Failure,AUPRC,0.7344,0.7255,0.7433,False
LSTM,Heart Failure,F1,0.713,0.6999,0.7261,False
LSTM,Heart Failure,Precision,0.7521,0.7273,0.777,False
LSTM,Heart Failure,Recall,0.7107,0.6872,0.7341,False
LSTM,Asthma,AUROC,0.7596,0.7479,0.7713,False
LSTM,Asthma,AUPRC,0.726,0.7075,0.7445,False
LSTM,Asthma,F1,0.7387,0.7156,0.7618,False
LSTM,Asthma,Precision,0.749,0.7404,0.7577,False
LSTM,Asthma,Recall,0.7279,0.7061,0.7498,False
GRU,Type 2 Diabetes,AUROC,0.7147,0.704,0.7254,False
GRU,Type 2 Diabetes,AUPRC,0.7082,0.6956,0.7209,False
GRU,Type 2 Diabetes,F1,0.6608,0.6393,0.6824,False
GRU,Type 2 Diabetes,Precision,0.6912,0.667,0.7155,False
GRU,Type 2 Diabetes,Recall,0.6958,0.6865,0.7051,False
GRU,Coronary Heart Disease,AUROC,0.711,0.6964,0.7257,False
GRU,Coronary Heart Disease,AUPRC,0.7437,0.728,0.7594,False
GRU,Coronary Heart Disease,F1,0.73,0.7092,0.7507,False
GRU,Coronary Heart Disease,Precision,0.7349,0.7158,0.754,False
GRU,Coronary Heart Disease,Recall,0.7408,0.7302,0.7514,False
GRU,CKD,AUROC,0.7276,0.7069,0.7483,False
GRU,CKD,AUPRC,0.7235,0.7122,0.7348,False
GRU,CKD,F1,0.7233,0.7068,0.7397,False
GRU,CKD,Precision,0.7058,0.6962,0.7154,False
GRU,CKD,Recall,0.7021,0.6775,0.7266,False
GRU,COPD,AUROC,0.6415,0.6326,0.6505,False
GRU,COPD,AUPRC,0.6807,0.6653,0.6962,False
GRU,COPD,F1,0.655,0.6326,0.6774,False
GRU,COPD,Precision,0.6873,0.6647,0.7098,False
GRU,COPD,Recall,0.6796,0.6612,0.698,False
GRU,Atrial Fibrillation,AUROC,0.7044,0.6892,0.7196,False
GRU,Atrial Fibrillation,AUPRC,0.7145,0.7006,0.7283,False
GRU,Atrial Fibrillation,F1,0.7099,0.6916,0.7282,False
GRU,Atrial Fibrillation,Precision,0.6957,0.6735,0.7179,False
GRU,Atrial Fibrillation,Recall,0.7239,0.7091,0.7386,False
GRU,Heart Failure,AUROC,0.6874,0.6672,0.7076,False
GRU,Heart Failure,AUPRC,0.7091,0.6893,0.7288,False
GRU,Heart Failure,F1,0.6968,0.6878,0.7059,False
GRU,Heart Failure,Precision,0.6731,0.6597,0.6865,False
GRU,Heart Failure,Recall,0.6988,0.6769,0.7208,False
GRU,Asthma,AUROC,0.6894,0.6667,0.7121,False
GRU,Asthma,AUPRC,0.7288,0.7113,0.7464,False
GRU,Asthma,F1,0.7176,0.7062,0.7289,False
GRU,Asthma,Precision,0.714,0.6916,0.7363,False
GRU,Asthma,Recall,0.7203,0.6987,0.7419,False
Transformer,Type 2 Diabetes,AUROC,0.7588,0.7458,0.7718,False
Transformer,Type 2 Diabetes,AUPRC,0.7892,0.7723,0.8062,False
Transformer,Type 2 Diabetes,F1,0.7628,0.7515,0.774,False
Transformer,Type 2 Diabetes,Precision,0.7819,0.766,0.7979,False
Transformer,Type 2 Diabetes,Recall,0.7689,0.7508,0.7871,False
Transformer,Coronary Heart Disease,AUROC,0.7756,0.7645,0.7868,False
Transformer,Coronary Heart Disease,AUPRC,0.7439,0.7204,0.7674,False
Transformer,Coronary Heart Disease,F1,0.7702,0.7479,0.7924,False
Transformer,Coronary Heart Disease,Precision,0.7842,0.7601,0.8082,False
Transformer,Coronary Heart Disease,Recall,0.7863,0.7656,0.8069,False
Transformer,CKD,AUROC,0.7466,0.7367,0.7565,False
Transformer,CKD,AUPRC,0.6976,0.6798,0.7154,False
Transformer,CKD,F1,0.6979,0.6828,0.7131,False
Transformer,CKD,Precision,0.7133,0.7,0.7266,False
Transformer,CKD,Recall,0.7046,0.6819,0.7272,False
Transformer,COPD,AUROC,0.7405,0.7241,0.7569,False
Transformer,COPD,AUPRC,0.7419,0.7218,0.762,False
Transformer,COPD,F1,0.7475,0.7362,0.7589,False
Transformer,COPD,Precision,0.7721,0.7608,0.7833,False
Transformer,COPD,Recall,0.7314,0.7072,0.7556,False
Transformer,Atrial Fibrillation,AUROC,0.7429,0.7231,0.7627,False
Transformer,Atrial Fibrillation,AUPRC,0.73,0.7132,0.7468,False
Transformer,Atrial Fibrillation,F1,0.7522,0.7372,0.7673,False
Transformer,Atrial Fibrillation,Precision,0.7533,0.738,0.7687,False
Transformer,Atrial Fibrillation,Recall,0.7366,0.7204,0.7527,False
Transformer,Heart Failure,AUROC,0.74,0.728,0.7519,False
Transformer,Heart Failure,AUPRC,0.7474,0.7326,0.7622,False
Transformer,Heart Failure,F1,0.7387,0.7289,0.7485,False
Transformer,Heart Failure,Precision,0.7309,0.7131,0.7487,False
Transformer,Heart Failure,Recall,0.7739,0.7578,0.7901,False
Transformer,Asthma,AUROC,0.7666,0.7498,0.7833,False
Transformer,Asthma,AUPRC,0.7709,0.7501,0.7916,False
Transformer,Asthma,F1,0.7641,0.7515,0.7766,False
Transformer,Asthma,Precision,0.7682,0.7572,0.7793,False
Transformer,Asthma,Recall,0.7501,0.7402,0.76,False
RETAIN,Type 2 Diabetes,AUROC,0.756,0.7469,0.7652,False
RETAIN,Type 2 Diabetes,AUPRC,0.7291,0.7194,0.7389,False
RETAIN,Type 2 Diabetes,F1,0.7493,0.7347,0.7639,False
RETAIN,Type 2 Diabetes,Precision,0.7515,0.7372,0.7659,False
RETAIN,Type 2 Diabetes,Recall,0.7437,0.7342,0.7532,False
RETAIN,Coronary Heart Disease,AUROC,0.7122,0.6914,0.7329,False
RETAIN,Coronary Heart Disease,AUPRC,0.7244,0.7044,0.7445,False
RETAIN,Coronary Heart Disease,F1,0.7082,0.6956,0.7208,False
RETAIN,Coronary Heart Disease,Precision,0.754,0.743,0.765,False
RETAIN,Coronary Heart Disease,Recall,0.7157,0.701,0.7305,False
RETAIN,CKD,AUROC,0.7538,0.733,0.7746,False
RETAIN,CKD,AUPRC,0.7886,0.7641,0.8131,False
RETAIN,CKD,F1,0.7403,0.7154,0.7651,False
RETAIN,CKD,Precision,0.7501,0.7376,0.7626,False
RETAIN,CKD,Recall,0.7566,0.7481,0.7651,False
RETAIN,COPD,AUROC,0.7545,0.7419,0.7671,False
RETAIN,COPD,AUPRC,0.7237,0.71,0.7374,False
RETAIN,COPD,F1,0.7173,0.6996,0.7349,False
RETAIN,COPD,Precision,0.7164,0.7079,0.7249,False
RETAIN,COPD,Recall,0.705,0.693,0.7169,False
RETAIN,Atrial Fibrillation,AUROC,0.7462,0.7279,0.7644,False
RETAIN,Atrial Fibrillation,AUPRC,0.7101,0.6995,0.7207,False
RETAIN,Atrial Fibrillation,F1,0.7675,0.7463,0.7886,False
RETAIN,Atrial Fibrillation,Precision,0.7839,0.7695,0.7983,False
RETAIN,Atrial Fibrillation,Recall,0.7352,0.7172,0.7532,False
RETAIN,Heart Failure,AUROC,0.7502,0.7305,0.77,False
RETAIN,Heart Failure,AUPRC,0.7488,0.7278,0.7698,False
RETAIN,Heart Failure,F1,0.7431,0.7225,0.7638,False
RETAIN,Heart Failure,Precision,0.7677,0.7507,0.7847,False
RETAIN,Heart Failure,Recall,0.7487,0.7316,0.7658,False
RETAIN,Asthma,AUROC,0.6895,0.6655,0.7135,False
RETAIN,Asthma,AUPRC,0.7049,0.6892,0.7206,False
RETAIN,Asthma,F1,0.7353,0.7106,0.76,False
RETAIN,Asthma,Precision,0.7052,0.6839,0.7264,False
RETAIN,Asthma,Recall,0.7092,0.6909,0.7275,False
Med-BERT,Type 2 Diabetes,AUROC,0.6626,0.654,0.6711,False
Med-BERT,Type 2 Diabetes,AUPRC,0.6997,0.6781,0.7214,False
Med-BERT,Type 2 Diabetes,F1,0.6987,0.6773,0.7202,False
Med-BERT,Type 2 Diabetes,Precision,0.7079,0.6838,0.732,False
Med-BERT,Type 2 Diabetes,Recall,0.6727,0.6606,0.6847,False
Med-BERT,Coronary Heart Disease,AUROC,0.7023,0.6847,0.7198,False
Med-BERT,Coronary Heart Disease,AUPRC,0.7309,0.7148,0.7469,False
Med-BERT,Coronary Heart Disease,F1,0.7446,0.7287,0.7605,False
Med-BERT,Coronary Heart Disease,Precision,0.7372,0.7154,0.7589,False
Med-BERT,Coronary Heart Disease,Recall,0.7231,0.6993,0.7469,False
Med-BERT,CKD,AUROC,0.7152,0.7015,0.7289,False
Med-BERT,CKD,AUPRC,0.6927,0.6816,0.7038,False
Med-BERT,CKD,F1,0.6835,0.6593,0.7078,False
Med-BERT,CKD,Precision,0.6953,0.6807,0.7098,False
Med-BERT,CKD,Recall,0.7166,0.6988,0.7344,False
Med-BERT,COPD,AUROC,0.7273,0.7027,0.752,False
Med-BERT,COPD,AUPRC,0.7001,0.6803,0.7199,False
Med-BERT,COPD,F1,0.6829,0.6584,0.7073,False
Med-BERT,COPD,Precision,0.7044,0.6905,0.7182,False
Med-BERT,COPD,Recall,0.6933,0.6768,0.7099,False
Med-BERT,Atrial Fibrillation,AUROC,0.7183,0.6938,0.7427,False
Med-BERT,Atrial Fibrillation,AUPRC,0.7174,0.6936,0.7412,False
Med-BERT,Atrial Fibrillation,F1,0.6699,0.6472,0.6926,False
Med-BERT,Atrial Fibrillation,Precision,0.71,0.6974,0.7226,False
Med-BERT,Atrial Fibrillation,Recall,0.7067,0.6908,0.7225,False
Med-BERT,Heart Failure,AUROC,0.6912,0.6704,0.7119,False
Med-BERT,Heart Failure,AUPRC,0.6922,0.6727,0.7117,False
Med-BERT,Heart Failure,F1,0.696,0.6742,0.7179,False
Med-BERT,Heart Failure,Precision,0.6971,0.6751,0.7191,False
Med-BERT,Heart Failure,Recall,0.6832,0.668,0.6984,False
Med-BERT,Asthma,AUROC,0.7207,0.7045,0.737,False
Med-BERT,Asthma,AUPRC,0.7619,0.7394,0.7844,False
Med-BERT,Asthma,F1,0.7507,0.7418,0.7596,False
Med-BERT,Asthma,Precision,0.7147,0.6902,0.7391,False
Med-BERT,Asthma,Recall,0.7361,0.7264,0.7459,False
DeepPatient,Type 2 Diabetes,AUROC,0.7467,0.733,0.7605,False
DeepPatient,Type 2 Diabetes,AUPRC,0.7567,0.7362,0.7773,False
DeepPatient,Type 2 Diabetes,F1,0.7649,0.7562,0.7736,False
DeepPatient,Type 2 Diabetes,Precision,0.7544,0.7303,0.7785,False
DeepPatient,Type 2 Diabetes,Recall,0.8172,0.7996,0.8348,False
DeepPatient,Coronary Heart Disease,AUROC,0.7715,0.7479,0.7952,False
DeepPatient,Coronary Heart Disease,AUPRC,0.7689,0.7457,0.792,False
DeepPatient,Coronary Heart Disease,F1,0.7943,0.7719,0.8167,False
DeepPatient,Coronary Heart Disease,Precision,0.7779,0.764,0.7919,False
DeepPatient,Coronary Heart Disease,Recall,0.7615,0.751,0.7721,False
DeepPatient,CKD,AUROC,0.818,0.8008,0.8352,False
DeepPatient,CKD,AUPRC,0.8076,0.7882,0.8271,False
DeepPatient,CKD,F1,0.8053,0.7836,0.8271,False
DeepPatient,CKD,Precision,0.8118,0.7926,0.831,False
DeepPatient,CKD,Recall,0.7897,0.772,0.8075,False
DeepPatient,COPD,AUROC,0.7469,0.7381,0.7557,False
DeepPatient,COPD,AUPRC,0.7745,0.76,0.7889,False
DeepPatient,COPD,F1,0.7782,0.7594,0.797,False
DeepPatient,COPD,Precision,0.7705,0.7484,0.7926,False
DeepPatient,COPD,Recall,0.7492,0.7353,0.763,False
DeepPatient,Atrial Fibrillation,AUROC,0.7319,0.7115,0.7523,False
DeepPatient,Atrial Fibrillation,AUPRC,0.7602,0.7355,0.785,False
DeepPatient,Atrial Fibrillation,F1,0.7507,0.7347,0.7667,False
DeepPatient,Atrial Fibrillation,Precision,0.7741,0.7527,0.7955,False
DeepPatient,Atrial Fibrillation,Recall,0.7508,0.7381,0.7635,False
DeepPatient,Heart Failure,AUROC,0.8102,0.7939,0.8265,False
DeepPatient,Heart Failure,AUPRC,0.8181,0.803,0.8332,False
DeepPatient,Heart Failure,F1,0.8212,0.8119,0.8305,False
DeepPatient,Heart Failure,Precision,0.8353,0.8208,0.8498,False
DeepPatient,Heart Failure,Recall,0.82,0.8009,0.839,False
DeepPatient,Asthma,AUROC,0.8456,0.823,0.8681,False
DeepPatient,Asthma,AUPRC,0.8585,0.8427,0.8743,False
DeepPatient,Asthma,F1,0.8823,0.8607,0.9039,False
DeepPatient,Asthma,Precision,0.8691,0.8462,0.8919,False
DeepPatient,Asthma,Recall,0.8797,0.8634,0.8961,False
