disease,feature,importance_score,rank
Fibrosis_of_Skin,Diastolic Blood Pressure,0.1924,2
Fibrosis_of_Skin,FEV1,0.1899,3
Fibrosis_of_Skin,HbA1c,0.1871,4
Fibrosis_of_Skin,ALT,0.175,5
Fibrosis_of_Skin,Calcium,0.1665,6
Fibrosis_of_Skin,Urea,0.1651,7
Fibrosis_of_Skin,LDL Cholesterol,0.1626,8
Fibrosis_of_Skin,Uric Acid,0.1624,9
Fibrosis_of_Skin,Apolipoprotein B,0.1599,10
Fibrosis_of_Skin,Physical Activity,0.1505,11
Fibrosis_of_Skin,Total Cholesterol,0.1501,12
Fibrosis_of_Skin,SHBG,0.1467,13
Fibrosis_of_Skin,Sodium,0.1424,14
Fibrosis_of_Skin,Creatinine,0.1349,15
Fibrosis_of_Skin,Fibrinogen,0.1283,16
Fibrosis_of_Skin,Cystatin C,0.1258,17
Fibrosis_of_Skin,eGFR,0.1215,18
Fibrosis_of_Skin,Phosphate,0.1171,19
Fibrosis_of_Skin,HDL Cholesterol,0.1128,20
Fibrosis_of_Skin,Systolic Blood Pressure,0.1019,21
Fibrosis_of_Skin,Smoking Status,0.0994,22
Fibrosis_of_Skin,Waist Circumference,0.0984,23
Fibrosis_of_Skin,Age at Diagnosis,0.0971,24
Fibrosis_of_Skin,Triglycerides,0.0957,25
Fibrosis_of_Skin,Alcohol Intake,0.0957,26
Fibrosis_of_Skin,FVC,0.0875,27
Fibrosis_of_Skin,Alkaline Phosphatase,0.0851,28
Fibrosis_of_Skin,Ferritin,0.0835,29
Fibrosis_of_Skin,BMI,0.0802,30
Fibrosis_of_Skin,Apolipoprotein A,0.0782,31
Fibrosis_of_Skin,Iron,0.0775,32
Fibrosis_of_Skin,White Blood Cell Count,0.076,33
Fibrosis_of_Skin,Albumin,0.0666,34
Fibrosis_of_Skin,Cortisol,0.0645,35
Fibrosis_of_Skin,CRP,0.0571,36
Fibrosis_of_Skin,Testosterone,0.056,37
Fibrosis_of_Skin,Free T4,0.0493,38
Fibrosis_of_Skin,Potassium,0.0485,39
Fibrosis_of_Skin,TSH,0.038,40
Fibrosis_of_Skin,Glucose,0.0349,41
Fibrosis_of_Skin,Bilirubin,0.0321,42
Fibrosis_of_Skin,Hip Circumference,0.0318,43
Fibrosis_of_Skin,Haemoglobin,0.0305,44
Fibrosis_of_Skin,Vitamin D,0.0246,45
Fibrosis_of_Skin,IGF-1,0.0223,46
Fibrosis_of_Skin,Insulin,0.0146,47
Fibrosis_of_Skin,AST,0.0144,48
Fibrosis_of_Skin,Platelet Count,0.0138,49
Fibrosis_of_Skin,Lipoprotein(a),0.013,50
IPF,IGF-1,0.2042,1
IPF,BMI,0.2008,2
IPF,FEV1,0.1899,3
IPF,SHBG,0.185,4
IPF,Sodium,0.1843,5
IPF,Cystatin C,0.1824,6
IPF,Ferritin,0.182,7
IPF,Testosterone,0.1793,8
IPF,Alcohol Intake,0.1738,9
IPF,White Blood Cell Count,0.1737,10
IPF,Gamma GT,0.1695,11
IPF,Systolic Blood Pressure,0.1577,12
IPF,Waist Circumference,0.1539,13
IPF,Diastolic Blood Pressure,0.1522,14
IPF,AST,0.1491,15
IPF,Calcium,0.1394,16
IPF,Apolipoprotein A,0.1376,17
IPF,eGFR,0.1262,18
IPF,Age at Diagnosis,0.1236,19
IPF,FVC,0.1226,20
IPF,Cortisol,0.115,21
IPF,Total Cholesterol,0.111,22
IPF,Physical Activity,0.1,23
IPF,Bilirubin,0.0959,24
IPF,Potassium,0.0864,25
IPF,Albumin,0.0848,26
IPF,Glucose,0.0739,27
IPF,LDL Cholesterol,0.0738,28
IPF,Uric Acid,0.072,29
IPF,Phosphate,0.0691,30
IPF,Apolipoprotein B,0.0674,31
IPF,Triglycerides,0.066,32
IPF,Urea,0.0658,33
IPF,HbA1c,0.0656,34
IPF,Iron,0.0638,35
IPF,Creatinine,0.0612,36
IPF,Fibrinogen,0.0554,37
IPF,Hip Circumference,0.0545,38
IPF,Lipoprotein(a),0.0478,39
IPF,Vitamin D,0.0424,40
IPF,Alkaline Phosphatase,0.0424,41
IPF,HDL Cholesterol,0.0368,42
IPF,Insulin,0.0296,43
IPF,TSH,0.0289,44
IPF,Haemoglobin,0.0278,45
IPF,Smoking Status,0.0269,46
IPF,Free T4,0.0243,47
IPF,ALT,0.0231,48
IPF,CRP,0.023,49
IPF,Platelet Count,0.0102,50
NASH,Waist Circumference,0.1927,1
NASH,Uric Acid,0.1879,2
NASH,Ferritin,0.1862,3
NASH,LDL Cholesterol,0.1842,4
NASH,Potassium,0.1842,5
NASH,Sodium,0.1836,6
NASH,Albumin,0.1801,7
NASH,Insulin,0.1689,8
NASH,Fibrinogen,0.1673,9
NASH,Platelet Count,0.1627,10
NASH,Testosterone,0.1542,11
NASH,FVC,0.1457,12
NASH,Alcohol Intake,0.1426,13
NASH,Bilirubin,0.1381,14
NASH,IGF-1,0.1316,15
NASH,Free T4,0.1304,16
NASH,Haemoglobin,0.1274,17
NASH,HDL Cholesterol,0.1152,18
NASH,Iron,0.1133,19
NASH,Apolipoprotein A,0.1128,20
NASH,Alkaline Phosphatase,0.11,21
NASH,Smoking Status,0.1059,22
NASH,Triglycerides,0.0944,23
NASH,ALT,0.0891,24
NASH,AST,0.0879,25
NASH,Lipoprotein(a),0.0867,26
NASH,CRP,0.0842,27
NASH,Systolic Blood Pressure,0.0838,28
NASH,Glucose,0.0837,29
NASH,Physical Activity,0.0835,30
NASH,White Blood Cell Count,0.0806,31
NASH,BMI,0.0755,32
NASH,Calcium,0.0692,33
NASH,FEV1,0.0688,34
NASH,Diastolic Blood Pressure,0.0625,35
NASH,Cystatin C,0.0592,36
NASH,SHBG,0.0571,37
NASH,Total Cholesterol,0.0529,38
NASH,Apolipoprotein B,0.0523,39
NASH,Age at Diagnosis,0.0483,40
NASH,Urea,0.0432,41
NASH,Cortisol,0.0416,42
NASH,Creatinine,0.039,43
NASH,Phosphate,0.0302,44
NASH,Vitamin D,0.0234,45
NASH,TSH,0.0205,46
NASH,Hip Circumference,0.0167,47
NASH,HbA1c,0.0163,48
NASH,eGFR,0.0138,49
NASH,Gamma GT,0.0105,50
Pulmonary Fibrosis,Bilirubin,0.2053,1
Pulmonary Fibrosis,Haemoglobin,0.1992,2
Pulmonary Fibrosis,TSH,0.1907,3
Pulmonary Fibrosis,Physical Activity,0.1828,4
Pulmonary Fibrosis,Apolipoprotein A,0.1804,5
Pulmonary Fibrosis,Potassium,0.1778,6
Pulmonary Fibrosis,CRP,0.1722,7
Pulmonary Fibrosis,Hip Circumference,0.1669,8
Pulmonary Fibrosis,Phosphate,0.1625,9
Pulmonary Fibrosis,FVC,0.1537,10
Pulmonary Fibrosis,Diastolic Blood Pressure,0.1532,11
Pulmonary Fibrosis,Creatinine,0.1525,12
Pulmonary Fibrosis,Testosterone,0.1494,13
Pulmonary Fibrosis,White Blood Cell Count,0.1489,14
Pulmonary Fibrosis,IGF-1,0.1418,15
Pulmonary Fibrosis,SHBG,0.1388,16
Pulmonary Fibrosis,Uric Acid,0.1382,17
Pulmonary Fibrosis,Platelet Count,0.1378,18
Pulmonary Fibrosis,Smoking Status,0.1376,19
Pulmonary Fibrosis,Insulin,0.137,20
Pulmonary Fibrosis,Glucose,0.1232,21
Pulmonary Fibrosis,FEV1,0.1125,22
Pulmonary Fibrosis,Total Cholesterol,0.1102,23
Pulmonary Fibrosis,Alcohol Intake,0.1062,24
Pulmonary Fibrosis,AST,0.1054,25
Pulmonary Fibrosis,eGFR,0.105,26
Pulmonary Fibrosis,Apolipoprotein B,0.0977,27
Pulmonary Fibrosis,Ferritin,0.0929,28
Pulmonary Fibrosis,BMI,0.0855,29
Pulmonary Fibrosis,Alkaline Phosphatase,0.0848,30
Pulmonary Fibrosis,ALT,0.0836,31
Pulmonary Fibrosis,Calcium,0.0835,32
Pulmonary Fibrosis,Cortisol,0.0781,33
Pulmonary Fibrosis,Fibrinogen,0.0679,34
Pulmonary Fibrosis,Systolic Blood Pressure,0.0668,35
Pulmonary Fibrosis,Triglycerides,0.0629,36
Pulmonary Fibrosis,Age at Diagnosis,0.0581,37
Pulmonary Fibrosis,Urea,0.0545,38
Pulmonary Fibrosis,Albumin,0.0485,39
Pulmonary Fibrosis,LDL Cholesterol,0.0448,40
Pulmonary Fibrosis,Cystatin C,0.0417,41
Pulmonary Fibrosis,Waist Circumference,0.039,42
Pulmonary Fibrosis,HDL Cholesterol,0.0389,43
Pulmonary Fibrosis,HbA1c,0.0388,44
Pulmonary Fibrosis,Iron,0.0388,45
Pulmonary Fibrosis,Sodium,0.035,46
Pulmonary Fibrosis,Lipoprotein(a),0.0263,47
Pulmonary Fibrosis,Gamma GT,0.0247,48
Pulmonary Fibrosis,Free T4,0.0154,49
Pulmonary Fibrosis,Vitamin D,0.0143,50
SSc_Connective_Tissue,Vitamin D,0.1913,1
SSc_Connective_Tissue,BMI,0.1895,2
SSc_Connective_Tissue,HDL Cholesterol,0.1765,3
SSc_Connective_Tissue,Sodium,0.1723,4
SSc_Connective_Tissue,FVC,0.1697,5
SSc_Connective_Tissue,Albumin,0.1674,6
SSc_Connective_Tissue,IGF-1,0.1648,7
SSc_Connective_Tissue,Phosphate,0.1511,8
SSc_Connective_Tissue,eGFR,0.1451,9
SSc_Connective_Tissue,Fibrinogen,0.1437,10
SSc_Connective_Tissue,Free T4,0.1436,11
SSc_Connective_Tissue,TSH,0.1422,12
SSc_Connective_Tissue,Age at Diagnosis,0.1356,13
SSc_Connective_Tissue,HbA1c,0.1282,14
SSc_Connective_Tissue,Cystatin C,0.1259,15
SSc_Connective_Tissue,AST,0.1249,16
SSc_Connective_Tissue,Systolic Blood Pressure,0.1196,17
SSc_Connective_Tissue,Creatinine,0.1055,18
SSc_Connective_Tissue,Apolipoprotein A,0.1011,19
SSc_Connective_Tissue,Apolipoprotein B,0.1003,20
SSc_Connective_Tissue,Gamma GT,0.0996,21
SSc_Connective_Tissue,White Blood Cell Count,0.094,22
SSc_Connective_Tissue,Waist Circumference,0.0903,23
SSc_Connective_Tissue,FEV1,0.0891,24
SSc_Connective_Tissue,Uric Acid,0.0862,25
SSc_Connective_Tissue,Alkaline Phosphatase,0.0861,26
SSc_Connective_Tissue,Hip Circumference,0.0847,27
SSc_Connective_Tissue,Calcium,0.0827,28
SSc_Connective_Tissue,Insulin,0.0816,29
SSc_Connective_Tissue,LDL Cholesterol,0.0758,30
SSc_Connective_Tissue,SHBG,0.0714,31
SSc_Connective_Tissue,Smoking Status,0.0668,32
SSc_Connective_Tissue,Physical Activity,0.0649,33
SSc_Connective_Tissue,Testosterone,0.0649,34
SSc_Connective_Tissue,Platelet Count,0.0643,35
SSc_Connective_Tissue,CRP,0.0629,36
SSc_Connective_Tissue,Haemoglobin,0.0611,37
SSc_Connective_Tissue,Alcohol Intake,0.0611,38
SSc_Connective_Tissue,Urea,0.0562,39
SSc_Connective_Tissue,Lipoprotein(a),0.0556,40
SSc_Connective_Tissue,Ferritin,0.0496,41
SSc_Connective_Tissue,Cortisol,0.0474,42
SSc_Connective_Tissue,Diastolic Blood Pressure,0.0474,43
SSc_Connective_Tissue,Triglycerides,0.0446,44
SSc_Connective_Tissue,Bilirubin,0.0413,45
SSc_Connective_Tissue,ALT,0.0408,46
SSc_Connective_Tissue,Total Cholesterol,0.0389,47
SSc_Connective_Tissue,Iron,0.0243,48
SSc_Connective_Tissue,Glucose,0.0191,49
SSc_Connective_Tissue,Potassium,0.0146,50
